genres,release_date,horas
"['Action', 'Indie', 'Racing']",1997,9319.0
['Action'],1998,2682852.0
['Strategy'],2006,27397.0
['Strategy'],2006,21111.0
"['Action', 'Indie', 'RPG']",2006,1048156.0
['Action'],2005,13691.0
"['Indie', 'Strategy']",2006,221438.0
"['Action', 'Indie', 'RPG']",2006,194048.0
"['Indie', 'Simulation']",2006,448366616.0
['Racing'],2006,80951.0
"['Casual', 'Indie']",2006,154.0
"['Casual', 'Indie']",2006,1339.0
['Strategy'],2003,43255.0
['Strategy'],2006,8226.0
"['Adventure', 'RPG']",2006,21296.0
['Racing'],2006,269881.0
['Racing'],2005,42577.0
"['Action', 'Adventure']",2007,43655.0
['Strategy'],2006,12286.0
['RPG'],2002,19254.0
"['Action', 'Adventure', 'RPG']",2000,52528.0
['Strategy'],2006,139346.0
['Strategy'],2003,15397.0
['Strategy'],2006,216479.0
['Strategy'],1998,823.0
"['Casual', 'Indie']",2007,6363.0
['Strategy'],1995,49839.0
"['Action', 'Adventure']",2007,102745.0
['Action'],2006,67480.0
"['Action', 'Adventure']",2006,49151.0
['Action'],1996,15646.0
"['Indie', 'RPG']",2007,811.0
"['Action', 'Adventure']",2006,31288.0
['Action'],1995,78153.0
['Action'],1995,8080.0
['Action'],1994,66762.0
['Action'],1994,32636.0
['Action'],2001,103106.0
['Action'],1997,9449.0
['Action'],1993,3329.0
['Action'],2003,16613.0
['Action'],2007,8996.0
['Action'],2007,93387.0
['Strategy'],2007,4292.0
['Strategy'],2006,295751.0
"['Action', 'RPG']",2007,2710399.0
['Strategy'],2006,744402.0
['Strategy'],2006,1881366.0
['Strategy'],2004,3019744.0
['Strategy'],2006,90058.0
['Casual'],2007,31.0
['Action'],1998,14990.0
['Action'],1999,8520.0
['Action'],2004,8101.0
['Racing'],2003,30635.0
['Action'],2003,199683.0
"['Action', 'Adventure']",2006,70912.0
['Action'],2001,284475.0
['Strategy'],2008,1563982.0
['Casual'],2007,128296.0
"['RPG', 'Casual', 'Adventure']",2007,207.0
['Strategy'],2007,37069.0
"['Action', 'Adventure', 'Strategy']",2007,3864.0
['Racing'],2007,24737.0
['Action'],2008,4343.0
['Action'],2007,18714.0
['Simulation'],2006,1432.0
['Action'],2006,1820.0
"['Action', 'Adventure']",2007,15387.0
['Action'],2006,11466.0
"['Simulation', 'Strategy']",2006,942672.0
['Action'],2005,10225.0
['Action'],2003,24757.0
['Action'],1998,24185.0
"['Casual', 'Indie']",2008,2236.0
['Action'],2003,79588.0
['Action'],2004,327093.0
['Action'],2000,205759.0
['Action'],2006,22539.0
['Simulation'],2005,80464.0
"['Casual', 'Simulation']",2008,10963.0
['Casual'],2008,2273.0
['Casual'],2008,4197.0
['Casual'],2008,3050.0
['Casual'],2008,5004.0
['Casual'],2008,389.0
['Casual'],2005,793.0
['Casual'],2007,3892.0
['Simulation'],2007,61001.0
['Casual'],2005,5574.0
"['Action', 'Adventure']",2007,3728.0
['Simulation'],2007,39164.0
['Simulation'],2006,203132.0
['Simulation'],2008,14365.0
['Adventure'],2005,1462.0
['Racing'],2005,533.0
['Adventure'],2006,624.0
['Racing'],2008,7472.0
['Simulation'],2007,1053.0
['Casual'],2007,508.0
['Adventure'],2008,3609.0
['Sports'],2008,0.0
"['Adventure', 'RPG']",2008,7558.0
"['Adventure', 'Indie']",2008,1552.0
"['Simulation', 'Strategy']",2007,16490.0
"['Action', 'Indie']",2008,8740.0
['Racing'],2008,161822.0
['Adventure'],1998,154058.0
['Adventure'],1997,268935.0
['Racing'],2008,976.0
['Strategy'],2001,7416.0
['Strategy'],1997,69682.0
['Strategy'],1993,187144.0
"['Action', 'RPG']",2008,515443.0
['Action'],2008,183679.0
['Action'],2007,934633.0
['Strategy'],1998,8847.0
"['Action', 'RPG']",2008,2491856.0
['Indie'],2008,48400.0
['Racing'],2008,73921.0
"['Strategy', 'Simulation']",2008,19447.0
['Strategy'],2008,122422.0
['Action'],2003,51988.0
"['Action', 'Adventure']",2008,170010.0
"['Simulation', 'Strategy']",2008,5344.0
"['RPG', 'Strategy']",2008,16132.0
['Action'],2008,73325.0
"['Indie', 'Casual']",2008,714.0
['Racing'],2006,1341.0
['Strategy'],2006,20611.0
['Action'],2005,33017.0
['Strategy'],2007,142140.0
['Strategy'],2008,58535.0
['Casual'],2007,0.0
['Action'],2002,17.0
['Casual'],2008,168116.0
['Indie'],2008,258264.0
"['Action', 'Simulation', 'Strategy']",2008,688392.0
['Action'],2008,17401.0
"['Casual', 'Indie']",2008,23162.0
"['Indie', 'Casual', 'Sports']",2008,692.0
"['Action', 'Adventure']",2008,1415995.0
['Action'],2008,1194748.0
"['Action', 'Indie', 'Strategy']",2008,16469.0
['Action'],2009,3272282.0
['Action'],2008,944423.0
['RPG'],2008,15123.0
"['Action', 'Adventure']",2009,2884325.0
"['Indie', 'Strategy']",2008,1242313.0
['Action'],2009,528054.0
"['Strategy', 'Indie']",2008,12399.0
"['Indie', 'Strategy']",2007,21485.0
