año_posted,count,app_name
2010,1,Prototype™
2010,1,Empire: Total War™
2010,1,
2010,6,Killing Floor
2010,1,AudioSurf
2010,1,Tom Clancy's Splinter Cell Chaos Theory®
2010,1,IL-2 Sturmovik: 1946
2010,1,Mirror's Edge™
2010,1,Dragon Age: Origins
2010,1,
2010,1,Fallout: New Vegas
2010,2,Worms Reloaded
2010,1,DOOM II
2010,2,Counter-Strike: Source
2010,1,Train Simulator
2010,1,Madballs in Babo:Invasion
2010,1,King's Bounty: The Legend
2010,1,Osmos
2010,1,Day of Defeat: Source
2010,1,
2010,1,STAR WARS™ - Knights of the Old Republic™
2010,1,eversion
2010,1,Sid Meier's Civilization® III Complete
2010,1,ArcaniA
2010,3,Portal
2010,3,Garry's Mod
2010,1,Supreme Commander 2
2010,1,Machinarium
2010,1,Super Meat Boy
2010,11,Team Fortress 2
2010,1,Sol Survivor
2010,1,Mount & Blade: Warband
2010,1,Left 4 Dead 2
2010,2,Amnesia: The Dark Descent
2010,1,
2010,1,Chime
2010,4,Alien Swarm
2010,1,Recettear: An Item Shop's Tale
2010,1,Trackmania United Forever Star Edition
2010,1,Civilization IV: Beyond the Sword
2010,1,Sid Meier's Civilization® V
2011,1,Counter-Strike
2011,1,3D Ultra™ Minigolf Adventures
2011,3,Call of Duty®: Modern Warfare® 2
2011,2,Orcs Must Die!
2011,2,Empire: Total War™
2011,4,
2011,25,Terraria
2011,2,Aliens vs. Predator™
2011,7,Bastion
2011,1,Space Pirates and Zombies
2011,1,Breath of Death VII
2011,1,Cthulhu Saves the World
2011,2,
2011,1,Blocks That Matter
2011,1,The Binding of Isaac
2011,2,APB Reloaded
2011,1,Overlord™
2011,1,Grand Theft Auto: Episodes from Liberty City
2011,17,Killing Floor
2011,3,PuzzleQuest: Challenge of the Warlords
2011,2,
2011,1,Overlord II
2011,1,Operation Flashpoint: Dragon Rising
2011,5,AudioSurf
2011,2,
2011,1,
2011,1,Prince of Persia®: The Sands of Time
2011,1,Uplink
2011,1,AaAaAA!!! - A Reckless Disregard for Gravity
2011,3,"Warhammer 40,000: Dawn of War II"
2011,1,Oddworld: Abe's Oddysee®
2011,1,Oddworld: Abe's Exoddus®
2011,1,
2011,1,Mass Effect
2011,1,Dead Space
2011,1,Age of Chivalry
2011,1,Nuclear Dawn
2011,2,And Yet It Moves
2011,1,
2011,1,
2011,1,Before the Echo
2011,1,
2011,1,S.T.A.L.K.E.R.: Clear Sky
2011,2,"Warhammer® 40,000: Dawn of War® II Chaos Rising"
2011,2,The Witcher: Enhanced Edition Director's Cut
2011,1,The Witcher 2: Assassins of Kings Enhanced Edition
2011,1,Street Fighter® IV
2011,1,
2011,5,Half-Life 2
2011,1,Quake III Arena
2011,1,Mount & Blade
2011,3,Zeno Clash
2011,2,The Elder Scrolls IV: Oblivion® Game of the Year Edition
2011,2,BRINK
2011,2,Fallout 3: Game of the Year Edition
2011,3,Fallout: New Vegas
2011,1,Worms Reloaded
2011,1,
2011,8,Counter-Strike: Source
2011,2,DC Universe™ Online
2011,2,PAYDAY™ The Heist
2011,1,
2011,1,Burnout Paradise: The Ultimate Box
2011,1,
2011,4,Battlefield: Bad Company™ 2
2011,3,Mass Effect 2
2011,1,Lugaru HD
2011,1,Europa Universalis III Complete
2011,2,Cogs
2011,2,Braid
2011,1,Crayon Physics Deluxe
2011,1,
2011,1,
2011,2,Day of Defeat: Source
2011,1,Poker Night at the Inventory
2011,1,
2011,2,Half-Life 2: Deathmatch
2011,1,STAR WARS™ - Knights of the Old Republic™
2011,1,LEGO® Star Wars™ - The Complete Saga
2011,1,STAR WARS™: The Force Unleashed™ II
2011,1,
2011,1,
2011,2,From Dust
2011,2,Arma 2: Operation Arrowhead
